3z 150 mg, pó para suspensão oral, 150 mg
3z 200 mg, pó para suspensão oral, 200 mg
3z 250 mg, pó para suspensão oral, 250 mg
3z 500 mg, pó para suspensão oral, 500 mg
AAS 150, 150 mg
Candesartan + Hidroclorotiazida Ciclum, 32 mg + 25 mg
Candesartan + Hidroclorotiazida Ciclum, 8 mg + 12.5 mg
Candesartan + Hidroclorotiazida Farmoz, 16 mg + 12.5 mg
Candesartan + Hidroclorotiazida Farmoz, 8 mg + 12.5 mg
Candesartan + Hidroclorotiazida Generis, 16 mg + 12.5 mg
Candesartan + Hidroclorotiazida Generis, 32 mg + 25 mg
Candesartan + Hidroclorotiazida Krka, 16 mg + 12.5 mg
Candesartan + Hidroclorotiazida Krka, 32 mg + 12.5 mg
Candesartan + Hidroclorotiazida Krka, 32 mg + 25 mg
Candesartan + Hidroclorotiazida Mylan, 16 mg + 12.5 mg
Candesartan + Hidroclorotiazida Mylan, 32 mg + 25 mg
Candesartan + Hidroclorotiazida Pharmakern, 16 mg + 12.5 mg
Candesartan + Hidroclorotiazida Ratiopharm, 16 mg + 12.5 mg
Candesartan + Hidroclorotiazida ratiopharm, 32 mg + 25 mg
Candesartan + Hidroclorotiazida Sandoz, 16 mg + 12.5 mg
Candesartan + Hidroclorotiazida Sandoz, 32 mg + 25 mg
Candesartan + Hidroclorotiazida TAD, 16 mg + 12.5 mg
Candesartan + Hidroclorotiazida TAD, 32 mg + 25 mg
Candesartan + Hidroclorotiazida Teva, 16 mg + 12.5 mg
Candesartan + Hidroclorotiazida Teva, 32 mg + 25 mg
Candesartan + Hidroclorotiazida Zentiva, 16 mg + 12.5 mg
Candesartan + Hidroclorotiazida Zentiva, 32 mg + 25 mg
Candesartan + Hidroclorotiazida Zentiva, 8 mg + 12.5 mg
Candesartan Alter, 16 mg
Candesartan Alter, 32 mg
Candesartan Alter, 4 mg
Candesartan Alter, 8 mg
Candesartan Aurobindo, 16 mg
Candesartan Aurobindo, 32 mg
Candesartan Aurobindo, 8 mg
Candesartan Aurovitas, 16 mg
Candesartan Aurovitas, 32 mg
Candesartan Aurovitas, 8 mg
Candesartan Axone, 16 mg
Candesartan Axone, 32 mg
Candesartan Axone, 4 mg
Candesartan Axone, 8 mg
Candesartan Azevedos, 16 mg
Candesartan Azevedos, 32 mg
Candesartan Azevedos, 4 mg
Candesartan Azevedos, 8 mg
Candesartan Basi, 16 mg
Candesartan Basi, 32 mg
Candesartan Basi, 8 mg
Candesartan Bluepharma, 16 mg
Candesartan Bluepharma, 32 mg
Candesartan Bluepharma, 4 mg
Candesartan Bluepharma, 8 mg
Candesartan Ciclum, 16 mg
Candesartan Ciclum, 32 mg
Candesartan Ciclum, 8 mg
Candesartan Cinfa, 16 mg
Candesartan Cinfa, 32 mg
Candesartan Cinfa, 8 mg
Candesartan Farmoz, 16 mg
Candesartan Farmoz, 32 mg
Candesartan Farmoz, 8 mg
Candesartan Generis, 16 mg
Candesartan Generis, 32 mg
Candesartan Generis, 8 mg
Candesartan Krka, 16 mg
Candesartan Krka, 32 mg
Candesartan Krka, 4 mg
Candesartan Krka, 8 mg
Candesartan Labesfal, 16 mg
Candesartan Labesfal, 32 mg
Candesartan Labesfal, 4 mg
Candesartan Labesfal, 8 mg
Candesartan Mylan, 16 mg
Candesartan Mylan, 32 mg
Candesartan Mylan, 4 mg
Candesartan Mylan, 8 mg
Candesartan Osir, 16 mg
Candesartan Osir, 32 mg
Candesartan Osir, 8 mg
Candesartan Pharmakern, 16 mg
Candesartan Pharmakern, 32 mg
Candesartan Pharmakern, 8 mg
Candesartan Ratiopharm, 16 mg
Candesartan Ratiopharm, 32 mg
Candesartan Ratiopharm, 8 mg
Candesartan Sandoz, 16 mg
Candesartan Sandoz, 32 mg
Candesartan Sandoz, 8 mg
Candesartan TAD, 16 mg
Candesartan TAD, 32 mg
Candesartan TAD, 4 mg
Candesartan TAD, 8 mg
Candesartan Teva, 16 mg
Candesartan Teva, 32 mg
Candesartan Teva, 8 mg
Candesartan toLife, 16 mg
Candesartan toLife, 32 mg
Candesartan toLife, 8 mg
Candesartan Zentiva, 16 mg
Candesartan Zentiva, 32 mg
Candesartan Zentiva, 8 mg
Candigen, 20 mg/g
Candiset 3 dias, 20 mg/g
Candiset, 10 mg/g
Canesten Unidia, 10 mg/g
Canesten Unidia, 10 mg/ml
Canesten, 10 mg/g
Canesten, 10 mg/ml
Capilarema, 75 mg
Capoten, 25 mg
Capoten, 50 mg
Capritin, 100 mg
Capritin, 25 mg
Capritin, 50 mg
Captopril + Hidroclorotiazida Generis, 50 mg + 25 mg
Captopril Almus, 25 mg
Captopril Almus, 50 mg
Captopril Aristo 25 mg Comprimidos, 25 mg
Captopril Aristo 50 mg Comprimidos, 50 mg
Captopril Bluepharma, 25 mg
Captopril Bluepharma, 50 mg
Captopril Carencil 25 mg Comprimidos, 25 mg
Captopril Carencil 50 mg Comprimidos, 50 mg
Captopril Cinfa 25 mg Comprimidos, 25 mg
Captopril Cinfa 50 mg Comprimidos, 50 mg
Captopril Convertal 25 mg Comprimidos, 25 mg
Captopril Convertal 50 mg Comprimidos, 50 mg
Captopril e Hidroclorotiazida-Ratiopharm, 50 mg + 25 mg
Captopril Farmoz 25 mg Comprimidos, 25 mg
Captopril Farmoz 50 mg Comprimidos, 50 mg
Captopril Generis 25 mg Comprimidos, 25 mg
Captopril Generis 50 mg Comprimidos, 50 mg
Captopril GP 25 mg Comprimidos, 25 mg
Captopril GP 50 mg Comprimidos, 50 mg
Captopril Labesfal 25 mg Comprimidos, 25 mg
Captopril Labesfal 50 mg Comprimidos, 50 mg
Captopril Mylan, 25 mg
Captopril Mylan, 50 mg
Captopril ratiopharm 25 mg Comprimidos, 25 mg
Captopril ratiopharm 50 mg Comprimidos, 50 mg
Captopril Sandoz 25 mg Comprimidos, 25 mg
Carbamazepina Alter 200 mg Comprimidos, 200 mg
Carbamazepina Alter 400 mg Comprimidos, 400 mg
Carbamazepina Generis 200 mg Comprimidos, 200 mg
Carbamazepina Generis 400 mg Comprimidos, 400 mg
Carbamazepina Labesfal 200 mg Comprimidos, 200 mg
Carbamazepina Labesfal 400 mg Comprimidos, 400 mg
Carbamazepina Mylan, 200 mg
Carbamazepina Mylan, 400 mg
Carbamazepina Wynn, 200 mg
Carbamazepina Wynn, 400 mg
Carbinib R, 500 mg
Carbinib, 250 mg
Cardipril, 10 mg
Cardipril, 20 mg
Cardipril, 5 mg
Cardura GITS, 4 mg
Cardura GITS, 8 mg
Carena, 270 mg/g + 200 mg/g
Carivalan, 12.5 mg + 5 mg
Carivalan, 12.5 mg + 7.5 mg
Carivalan, 25 mg + 5 mg
Carivalan, 25 mg + 7.5 mg
Carivalan, 6.25 mg + 5 mg
Carivalan, 6.25 mg + 7.5 mg
Carplexil, 10 mg/g
Cartia, 100 mg
Cartilon, 1500 mg
Carvedilol Aurovitas, 25 mg
Carvedilol Aurovitas, 6.25 mg
Carvedilol Azevedos 12.5 mg Comprimidos, 12.5 mg
Carvedilol Azevedos 25 mg Comprimidos, 25 mg
Carvedilol Azevedos 6.25 mg Comprimidos, 6.25 mg
Carvedilol Ciclum 25 mg Comprimidos, 25 mg
Carvedilol Ciclum 6,25 mg Comprimidos, 6.25 mg
Carvedilol Cinfa, 25 mg
Carvedilol Cinfa, 6.25 mg
Carvedilol Coronat 25 mg Comprimidos, 25 mg
Carvedilol Coronat 6,25 mg Comprimidos, 6.25 mg
Carvedilol Farmoz 25 mg Comprimidos, 25 mg
Carvedilol Farmoz 6,25 mg Comprimidos, 6.25 mg
Carvedilol Generis Phar, 25 mg
Carvedilol Generis Phar, 6.25 mg
Carvedilol Generis, 25 mg
Carvedilol Generis, 6.25 mg
Carvedilol GP, 25 mg
Carvedilol GP, 6.25 mg
Carvedilol Jaba 25 mg Comprimidos, 25 mg
Carvedilol Jaba 6,25 mg Comprimidos, 6.25 mg
Carvedilol Krka, 25 mg
Carvedilol Krka, 6.25 mg
Carvedilol Labesfal, 25 mg
Carvedilol Labesfal, 6.25 mg
Carvedilol Limeg, 25 mg
Carvedilol Limeg, 6.25 mg
Carvedilol Mylan, 12.5 mg
Carvedilol Mylan, 25 mg
Carvedilol Mylan, 6.25 mg
Carvedilol Ratiopharm, 25 mg
Carvedilol Ratiopharm, 6.25 mg
Carvedilol Sandoz, 25 mg
Carvedilol Sandoz, 6.25 mg
Carvedilol Tecnimede 25 mg comprimidos, 25 mg
Carvedilol Tecnimede 6,25 mg comprimidos, 6.25 mg
Carvedilol Teva 25 mg comprimidos, 25 mg
Carvedilol Teva 6,25 mg comprimidos, 6.25 mg
Carzap Am, 10 mg + 16 mg
Carzap Am, 5 mg + 16 mg
Carzap Am, 5 mg + 8 mg
Casenlax, 10000 mg
Casenlax, 10000 mg/20 ml
Casenlax, 4000 mg
Casenlax, 500 mg/ml
Castilium, 10 mg
Castilium, 20 mg
Catabina, 3 mg/ml
Cataflam, 50 mg
Catalip 267 Micronizado, 267 mg
Catalip, 200 mg
Catapresan, 0.15 mg
Caverject, 0.01 mg/1 ml
Caverject, 0.02 mg/1 ml
Cavinton, 5 mg
Cayston, 75 mg/1 ml
Cebiolon, 100 mg/ml
Cebion, 1000 mg
Ceclor Retard, 750 mg
Ceclor, 250 mg/5 ml
Ceclor, 375 mg/5 ml
Ceclor, 500 mg
Cecrisina, 1000 mg
Cefaclor Labesfal 500 mg Cápsulas, 500 mg
Cefaclor Labesfal, 250 mg/5 ml
Cefadroxil Mylan, 1000 mg
Cefixima Aurobindo, 400 mg
Cefixima Cefiton 100 mg/5 ml Pó Para Suspensão Oral, 20 mg/ml
Cefixima Cefiton 400 mg Comprimidos, 400 mg
Cefixima Generis 100 mg/ 5 ml Pó para suspensão oral, 20 mg/ml
Cefixima Generis Phar, 400 mg
Cefixima Generis, 400 mg
Cefixima Germed 100 mg/5 ml Pó para Suspensão Oral, 20 mg/ml
Cefixima Germed 400 mg Comprimidos Revestidos, 400 mg
Cefixima Labesfal 100 mg/5 ml Pó para Suspensão Oral, 20 mg/ml
Cefixima Labesfal 400 mg Comprimidos Revestidos, 400 mg
Cefixima Mepha 100 mg/5 ml Pó Para Suspensão Oral, 20 mg/ml
Cefixima Mepha 400 mg Comprimidos Revestidos, 400 mg
Cefixima Neocef 100 mg/5 ml Pó para Suspensão Oral, 20 mg/ml
Cefizox, 1000 mg/10 ml
Cefizox, 1000 mg/3 ml
Cefizox, 2000 mg/20 ml
Cefizox, 2000 mg/6 ml
Ceforal, 100 mg/ml
Ceforal, 1000 mg
Ceforal, 50 mg/ml
Ceforal, 500 mg
Cefotaxima Hikma, 1000 mg/4 ml
Cefotaxima Hikma, 500 mg/2 ml
Cefotaxima Labesfal 1000 mg Pó e solvente para solução injectável IM, 1000 mg/4 ml
Cefotaxima Labesfal 1000 mg Pó e solvente para solução injectável IM/IV, 1000 mg/4 ml
Cefotaxima Labesfal 500 mg Pó e solvente para solução injectável IM/IV, 500 mg/2 ml
Cefoxitina Basi, 1000 mg
Cefoxitina Hikma 1 g pó e solvente para solução injectável, 1000 mg/10 ml
Cefoxitina Hikma 1 g pó e solvente para solução injectável, 1000 mg/2 ml
Cefoxitina Labesfal, 1000 mg/10 ml
Cefoxitina Labesfal, 1000 mg/2 ml
Cefoxitina Labesfal, 500 mg/2 ml
Cefoxitina Labesfal, 500 mg/5 ml
Cefradina Labesfal, 1000 mg
Cefradina Labesfal, 250 mg/5 ml
Cefradina Labesfal, 500 mg
Cefradina Labesfal, 500 mg/5 ml
Cefradur, 1000 mg
Cefradur, 250 mg/5 ml
Cefradur, 500 mg
Cefradur, 500 mg/5 ml
Ceftazidima Labesfal, 1000 mg/3 ml
Ceftazidima Labesfal, 2000 mg
Ceftazidima Labesfal, 500 mg/1.5 ml
Ceftazim, 1000 mg/3 ml
Ceftriaxona Cefilan 1000 mg Pó e solvente para solução injectável IM, 1000 mg/3.5 ml
Ceftriaxona Cefilan 500 mg Pó e solvente para solução injectável IM, 500 mg/2 ml
Ceftriaxona Generis 1 g Pó e Solvente para Solução Injectável IM, 1000 mg/3.5 ml
Ceftriaxona Generis 250 mg Pó e Solvente para Solução Injectável IM, 250 mg/2 ml
Ceftriaxona Generis 500 mg Pó e Solvente para Solução Injectável IM, 500 mg/2 ml
Ceftriaxona Hikma 1g pó para solução para perfusão, 1000 mg
Ceftriaxona Hikma 2 g pó para solução para perfusão, 2000 mg
Ceftriaxona Hikma 250 mg Pó e Solvente para Solução Injectável, 250 mg/2 ml
Ceftriaxona Labesfal 1000 mg Pó e Solvente para Solução Injectável (IM), 1000 mg/3.5 ml
Ceftriaxona Labesfal 1000 mg Pó e Solvente para Solução Injectável (IV), 1000 mg/10 ml
Ceftriaxona Labesfal 2000 mg Pó para Solução para Perfusão, 2000 mg
Ceftriaxona Labesfal 500 mg Pó e Solvente para Solução Injectável (IM), 500 mg/2 ml
Ceftriaxona Labesfal 500 mg Pó e Solvente para Solução Injectável (IV), 500 mg/5 ml
Ceftriaxona Medinfar 1 g Pó e Solvente para Solução Injectável, 1000 mg/10 ml
Ceftriaxona Medinfar 1 g Pó e Solvente para Solução Injectável, 1000 mg/3.5 ml
Ceftriaxona Medinfar 2 g Pó para Solução para Perfusão, 2000 mg
Ceftriaxona Medinfar 250 mg Pó e Solvente para Solução Injectável, 250 mg/2 ml
Ceftriaxona Medinfar 500 mg Pó e Solvente para Solução Injectável, 500 mg/2 ml
Ceftriaxona Medinfar 500 mg Pó e Solvente para Solução Injectável, 500 mg/5 ml
Ceftriaxona Mesporin 1000 mg Pó e Solvente para Solução Injectável IM, 1000 mg/3.5 ml
Ceftriaxona Mesporin 1000 mg Pó e Solvente para Solução Injectável IV, 1000 mg/10 ml
Ceftriaxona Mesporin 2 g Pó para Solução para Perfusão IV, 2000 mg
Ceftriaxona Mesporin 250 mg Pó e Solvente para Solução Injectável IM, 250 mg/2 ml
Ceftriaxona Mesporin 250 mg Pó e Solvente para Solução Injectável IV, 250 mg/5 ml
Ceftriaxona Mesporin 500 mg Pó e Solvente para Solução Injectável IM, 500 mg/2 ml
Ceftriaxona Mesporin 500 mg Pó e Solvente para Solução Injectável IV, 500 mg/5 ml
Ceftriaxona Sandoz, 1000 mg
Cefuroxima Aristo, 250 mg
Cefuroxima Aristo, 500 mg
Cefuroxima Basi, 250 mg
Cefuroxima Basi, 500 mg
Cefuroxima Generis Phar, 250 mg
Cefuroxima Generis Phar, 500 mg
Cefuroxima Generis, 250 mg
Cefuroxima Generis, 500 mg
Cefuroxima Hikma, 1500 mg/16 ml
Cefuroxima Hikma, 750 mg/3 ml
Cefuroxima Hikma, 750 mg/6 ml
Cefuroxima Krka, 500 mg
Cefuroxima Mylan, 250 mg
Cefuroxima Mylan, 500 mg
Cefuroxima Ratiopharm, 250 mg
Cefuroxima Ratiopharm, 500 mg
Cegrinaso, 200 mg + 30 mg
Cêgripe, 1 mg + 500 mg
Celebrex, 100 mg
Celebrex, 200 mg
Celecoxib Alter, 100 mg
Celecoxib Alter, 200 mg
Celecoxib Aurovitas, 100 mg
Celecoxib Aurovitas, 200 mg
Celecoxib Bluepharma, 100 mg
Celecoxib Bluepharma, 200 mg
Celecoxib Ciclum, 100 mg
Celecoxib Ciclum, 200 mg
Celecoxib Cinfa, 100 mg
Celecoxib Cinfa, 200 mg
Celecoxib Farmoz, 100 mg
Celecoxib Farmoz, 200 mg
Celecoxib Generis, 100 mg
Celecoxib Generis, 200 mg
Celecoxib Goibela, 100 mg
Celecoxib Goibela, 200 mg
Celecoxib Helm, 100 mg
Celecoxib Helm, 200 mg
Celecoxib Krka, 100 mg
Celecoxib Krka, 200 mg
Celecoxib Labesfal, 100 mg
Celecoxib Labesfal, 200 mg
Celecoxib Mylan, 100 mg
Celecoxib Mylan, 200 mg
Celecoxib Pentafarma, 100 mg
Celecoxib Pentafarma, 200 mg
Celecoxib Ratiopharm, 100 mg
Celecoxib Ratiopharm, 200 mg
Celecoxib Sandoz, 100 mg
Celecoxib Sandoz, 200 mg
Celecoxib Tolife, 100 mg
Celecoxib Tolife, 200 mg
Celecoxib Zentiva, 100 mg
Celecoxib Zentiva, 200 mg
Celestone, 0.5 mg/ml
Cellcept, 250 mg
Cellcept, 500 mg
Celluvisc, 4 mg/0.4 ml
Cerazette, 0.075 mg
Cerbon-6, 100 mg
Cerestabon, 30 mg
Ceriax, 1000 mg/10 ml
Ceriax, 1000 mg/3.5 ml
Ceriax, 2000 mg
Certican, 0.25 mg
Certican, 0.5 mg
Certican, 0.75 mg
Certican, 1.0 mg
Cervarix, Associação
Cervoxan, 40 mg
Cetampril, 20 mg
Cetampril, 5 mg
Cetavlex, 5 mg/g
Cetilace, 500 mg
Cetirizina Alter 10 mg Comprimidos Revestidos, 10 mg
Cetirizina Alter Genéricos, 10 mg
Cetirizina Aristo, 1 mg/ml
Cetirizina Aurobindo, 10 mg
Cetirizina Aurovitas, 10 mg
Cetirizina Baldacci 1 mg/ml Solução oral, 1 mg/ml
Cetirizina Baldacci, 10 mg
Cetirizina Bluepharma, 10 mg
Cetirizina Ciclum, 10 mg
Cetirizina Fair-Med, 10 mg
Cetirizina Farmoz 10 mg Comprimidos Revestidos por Película, 10 mg
Cetirizina Generis 1 mg/ml Solução oral, 1 mg/ml
Cetirizina Generis 10 mg Comprimidos Revestidos, 10 mg
Cetirizina Germed 10 mg comprimidos revestidos, 10 mg
Cetirizina GP 10 mg Comprimidos revestidos, 10 mg
Cetirizina Jaba 1 mg/ml Solução oral, 1 mg/ml
Cetirizina Jaba 10 mg Comprimidos revestidos, 10 mg
Cetirizina Labesfal 1 mg/ml Solução oral, 1 mg/ml
Cetirizina Mylan, 1 mg/ml
Cetirizina Mylan, 10 mg
Cetirizina Nargoran, 10 mg
Cetirizina ratiopharm 10 mg Comprimidos, 10 mg
Cetirizina Sandoz, 10 mg
Cetirizina Zentiva, 10 mg
Cetix Spray Nasal, 64 µg/dose
Cetix, 10 mg
Cetoconazol Aurovitas, 20 mg/g
Cetoprofeno Menarini, 25 mg/g
Cetraflux, 3 mg/ml
Cetraxal Duo, 0.25 mg/ml + 3 mg/ml
Cetrimida Clorohexidina Labesfal, 150 mg/ml + 15 mg/ml
Cetrotide, 0.25 mg/1 ml
Chamodent, Associação
Champix, (0.5 mg) + (1 mg)
Champix, 1 mg
Chariva, 2 mg + 0.03 mg
Chibroxol, 3 mg/ml
Chimar Oral, 100000 U
Chiroflu, Associação
Chloraprep Laranja, 20 mg/ml + 550 mg/ml
Chloraprep, 20 mg/ml + 550 mg/ml
Cholestagel, 625 mg
Choliatron, 40 mg
Cholib, 20 mg + 145 mg
Cholib, 40 mg + 145 mg
Cialis, 10 mg
Cialis, 20 mg
Cialis, 5 mg
Cicaderma, Associação
Cicloplegicedol, 10 mg/ml
Ciclosporina Flica, 100 mg
Ciclosporina Flica, 25 mg
Ciclosporina Flica, 50 mg
Ciclosporina Generis, 100 mg
Ciclosporina Generis, 100 mg/ml
Ciclosporina Generis, 25 mg
Ciclosporina Generis, 50 mg
Ciclosporina Teva, 100 mg
Ciclosporina Teva, 100 mg/ml
Ciclosporina Teva, 25 mg
Ciclosporina Teva, 50 mg
Cicloviral IV, 250 mg
Cicloviral, 200 mg
Cicloviral, 400 mg
Cicloviral, 50 mg/g
Cicloviral, 800 mg
Cilazapril + Hidroclorotiazida Generis, 5 mg + 12.5 mg
Cilazapril + Hidroclorotiazida Krka, 5 mg + 12.5 mg
Cilazapril + Hidroclorotiazida Labesfal, 5 mg + 12.5 mg
Cilazapril Generis, 0.5 mg
Cilazapril Generis, 1 mg
Cilazapril Generis, 2.5 mg
Cilazapril Generis, 5 mg
Cilestoderme, 1 mg/g
Cilostazol Ferrer, 100 mg
Cim, 200 mg
Cim, 400 mg
Cimzia, 200 mg/1 ml
Cinarizina + Dimenidrinato Sarb, 20 mg + 40 mg
Cincofarm, 100 mg
Cinebil, 1000 mg
Cinebil, 1000 mg/5 ml
Cinet, 1 mg/ml
Cinet, 10 mg
Cinon Forte, 75 mg
Cipamox, 1000 mg
Cipamox, 3000 mg
Cipamox, 500 mg
Cipamox, 500 mg/5 ml
Cipancin, 100 mg
Ciplox, 500 mg
Ciplox, 750 mg
Cipralex, 10 mg
Cipralex, 20 mg
Cipralex, 20 mg/ml
Ciprofloxacina Almus, 500 mg
Ciprofloxacina Alter 250 mg comprimidos revestidos, 250 mg
Ciprofloxacina Alter 500 mg comprimidos revestidos, 500 mg
Ciprofloxacina Alter 750 mg comprimidos revestidos, 750 mg
Ciprofloxacina Aurobindo, 250 mg
Ciprofloxacina Aurobindo, 500 mg
Ciprofloxacina Aurobindo, 750 mg
Ciprofloxacina Aurovitas, 250 mg
Ciprofloxacina Aurovitas, 500 mg
Ciprofloxacina Aurovitas, 750 mg
Ciprofloxacina Azevedos, 250 mg
Ciprofloxacina Azevedos, 500 mg
Ciprofloxacina Azevedos, 750 mg
Ciprofloxacina Basi, 250 mg
Ciprofloxacina Basi, 500 mg
Ciprofloxacina Basi, 750 mg
Ciprofloxacina Bluepharma, 250 mg
Ciprofloxacina Bluepharma, 500 mg
Ciprofloxacina Bluepharma, 750 mg
Ciprofloxacina Ciclum, 250 mg
Ciprofloxacina Ciclum, 500 mg
Ciprofloxacina Cinfa 250 mg comprimidos revestidos, 250 mg
Ciprofloxacina Cinfa 500 mg comprimidos revestidos, 500 mg
Ciprofloxacina Cinfa 750 mg comprimidos revestidos, 750 mg
Ciprofloxacina Farmoz, 250 mg
Ciprofloxacina Farmoz, 500 mg
Ciprofloxacina Generis, 250 mg
Ciprofloxacina Generis, 500 mg
Ciprofloxacina Generis, 750 mg
Ciprofloxacina Germed, 250 mg
Ciprofloxacina Germed, 500 mg
Ciprofloxacina Germed, 750 mg
Ciprofloxacina GP, 250 mg
Ciprofloxacina GP, 500 mg
Ciprofloxacina GP, 750 mg
Ciprofloxacina Jaba, 250 mg
Ciprofloxacina Jaba, 500 mg
Ciprofloxacina Jaba, 750 mg
Ciprofloxacina Krka, 250 mg
Ciprofloxacina Krka, 500 mg
Ciprofloxacina Krka, 750 mg
Ciprofloxacina Labesfal, 250 mg
Ciprofloxacina Labesfal, 500 mg
Ciprofloxacina Labesfal, 750 mg
Ciprofloxacina Megaflox 500 mg Comprimidos, 500 mg
Ciprofloxacina Mylan, 250 mg
Ciprofloxacina Mylan, 500 mg
Ciprofloxacina Mylan, 750 mg
Ciprofloxacina Nixin, 250 mg
Ciprofloxacina Nixin, 500 mg
Ciprofloxacina Nixin, 750 mg
Ciprofloxacina Pentafarma, 250 mg
Ciprofloxacina Pentafarma, 500 mg
Ciprofloxacina Pentafarma, 750 mg
Ciprofloxacina Pharmakern, 500 mg
Ciprofloxacina Ratiopharm 250 mg Comprimidos Revestidos, 250 mg
Ciprofloxacina Ratiopharm 500 mg Comprimidos Revestidos, 500 mg
Ciprofloxacina Ratiopharm 750 mg Comprimidos Revestidos, 750 mg
Ciprofloxacina Sandoz, 250 mg
Ciprofloxacina Sandoz, 500 mg
Ciprofloxacina Sandoz, 750 mg
Ciprofloxacina Tetrafarma, 250 mg
Ciprofloxacina Tetrafarma, 500 mg
Ciprofloxacina Tetrafarma, 750 mg
Ciprofloxacina Teva, 250 mg
Ciprofloxacina Teva, 500 mg
Ciprofloxacina Teva, 750 mg
Ciprofloxacina ToLife, 250 mg
Ciprofloxacina ToLife, 500 mg
Ciprofloxacina ToLife, 750 mg
Ciprofloxacina Wynn, 250 mg
Ciprofloxacina Wynn, 500 mg
Ciproterona + Etinilestradiol Generis, 2 mg + 0.035 mg
Ciproterona Generis 100 mg Comprimidos, 100 mg
Ciproterona Generis 50 mg Comprimidos, 50 mg
Ciproxina, 250 mg
Ciproxina, 500 mg
Ciproxina, 750 mg
Circadin, 2 mg
Circlet, 0.015 mg/24 h + 0.12 mg/24 h
Cisordinol Acutard, 50 mg/1 ml
Cisordinol Depot, 200 mg/1 ml
Citalopram Aurobindo, 10 mg
Citalopram Aurobindo, 20 mg
Citalopram Aurobindo, 40 mg
Citalopram Aurovitas, 10 mg
Citalopram Aurovitas, 20 mg
Citalopram Aurovitas, 40 mg
Citalopram Azevedos, 10 mg
Citalopram Azevedos, 20 mg
Citalopram Azevedos, 40 mg
Citalopram Genedec 10 mg Comprimidos, 10 mg
Citalopram Genedec 20 mg Comprimidos, 20 mg
Citalopram Genedec 40 mg Comprimidos, 40 mg
Citalopram Generis, 10 mg
Citalopram Generis, 20 mg
Citalopram Generis, 40 mg
Citalopram Wynn, 10 mg
Citalopram Wynn, 20 mg
Citalopram Wynn, 40 mg
Citarabina Sandoz, 50 mg/ml
Citicolina Mylan, 1000 mg/10 ml
Citicolina Vitória, 1000 mg/10 ml
Citrafleet, 10.97 g + 3.5 g + 0.01 g
Clamoxyl, 1000 mg
Clamoxyl, 250 mg/5 ml
Clamoxyl, 500 mg
Clamoxyl, 500 mg/5 ml
Clarelux, 0.5 mg/g
Claridon QD, 10 mg + 240 mg
Claridon, 5 mg + 120 mg
Clarissa, 2 mg + 0.03 mg
Claritine, 1 mg/ml
Claritine, 10 mg
Claritromicina Alter 250 mg Comprimidos Revestidos, 250 mg
Claritromicina Alter 500 mg Comprimidos Revestidos, 500 mg
Claritromicina Anova, 250 mg
Claritromicina Anova, 500 mg
Claritromicina APceuticals, 250 mg
Claritromicina APceuticals, 500 mg
Claritromicina Aurovitas, 500 mg
Claritromicina Azevedos, 500 mg
Claritromicina Basi, 250 mg
Claritromicina Basi, 500 mg
Claritromicina BGP, 250 mg
Claritromicina BGP, 500 mg
Claritromicina Bluepharma LP, 500 mg
Claritromicina Bluepharma, 250 mg
Claritromicina Bluepharma, 500 mg
Claritromicina Cinfa 250 mg Comprimidos revestidos, 250 mg
Claritromicina Cinfa 500 mg Comprimidos revestidos, 500 mg
Claritromicina Cladia, 250 mg
Claritromicina Cladia, 500 mg
Claritromicina Farmoz 250 mg Comprimidos Revestidos, 250 mg
Claritromicina Farmoz 500 mg Comprimidos Revestidos, 500 mg
Claritromicina Farmoz OD, 500 mg
Claritromicina Generis 250 mg comprimidos revestidos, 250 mg
Claritromicina Generis 500 mg comprimidos revestidos, 500 mg
Claritromicina Generis, 500 mg
Claritromicina GP 250 mg Comprimidos revestidos, 250 mg
Claritromicina GP 500 mg Comprimidos revestidos, 500 mg
Claritromicina Labesfal 250 mg Comprimidos Revestidos, 250 mg
Claritromicina Labesfal 500 mg Comprimidos Revestidos, 500 mg
Claritromicina Mylan, 250 mg
Claritromicina Mylan, 500 mg
Claritromicina Pharmakern 500 mg, 500 mg
Claritromicina Pharmakern, 250 mg
Claritromicina ratiopharm 250 mg comprimidos revestidos, 250 mg
Claritromicina ratiopharm 500 mg comprimidos revestidos, 500 mg
Claritromicina Sandoz, 250 mg
Claritromicina Sandoz, 500 mg
Claritromicina TAD, 250 mg
Claritromicina TAD, 500 mg
Claritromicina Tetrafarma 250 mg Comprimidos revestidos, 250 mg
Claritromicina Tetrafarma 500 mg Comprimidos revestidos, 500 mg
Claritromicina Tetrafarma OD, 500 mg
Claritromicina ToLife 250 mg Comprimidos Revestidos, 250 mg
Claritromicina ToLife 500 mg Comprimidos Revestidos, 500 mg
Claritromicina Zentiva, 250 mg
Claritromicina Zentiva, 500 mg
Claritromicina Zocid 250 mg Comprimidos, 250 mg
Claritromicina Zocid 500 mg Comprimidos, 500 mg
Clarus, 0.5 mg/ml
Clarvisan, 0.05 mg/ml
Clavamox 125, 125 mg/5 ml + 31.25 mg/5 ml
Clavamox 250, 250 mg/5 ml + 62.5 mg/5 ml
Clavamox 500, 500 mg + 125 mg
Clavamox DT 400, 400 mg/5 ml + 57 mg/5 ml
Clavamox DT, 875 mg + 125 mg
Clavamox ES, 600 mg/5 ml + 42.9 mg/5 ml
Clebofex, 0.1 mg/ml
